"Day","Hr","Temp","KWH"
2014-12-11,16,33.89,105
2014-12-11,17,33.98,105
2014-12-11,18,33.08,103
2014-12-11,19,33.08,63
2014-12-11,20,32,61
2014-12-11,21,32,61
2014-12-11,22,32,60
2014-12-11,23,32,60
2014-12-12,0,32,73
2014-12-12,1,30.92,71
2014-12-12,2,30.92,71
2014-12-12,3,30.92,70
2014-12-12,4,30.92,70
2014-12-12,5,32,70
2014-12-12,6,32,70
2014-12-12,7,32,109
2014-12-12,8,33.98,111
2014-12-12,9,35.06,111
2014-12-12,10,36.32,112
2014-12-12,11,35.96,111
2014-12-12,12,37.04,112
2014-12-12,13,37.67,112
2014-12-12,14,37.94,111
2014-12-12,15,37.94,111
2014-12-12,16,37.04,110
2014-12-12,17,35.96,108
2014-12-12,18,36.68,108
2014-12-12,19,35.33,67
2014-12-12,20,33.98,65
2014-12-12,21,33.98,64
2014-12-12,22,33.98,64
2014-12-12,23,33.08,62
2014-12-13,0,33.08,36
2014-12-13,1,33.08,35
2014-12-13,2,33.08,35
2014-12-13,3,32,33
2014-12-13,4,32,32
2014-12-13,5,32,32
2014-12-13,6,32,31
2014-12-13,7,33.08,72
2014-12-13,8,33.8,72
2014-12-13,9,35.06,73
2014-12-13,10,35.96,73
2014-12-13,11,37.94,75
2014-12-13,12,39.92,76
2014-12-13,13,41,77
2014-12-13,14,41,76
2014-12-13,15,39.92,75
2014-12-13,16,39.02,73
2014-12-13,17,39.02,73
2014-12-13,18,37.94,71
2014-12-13,19,37.04,30
2014-12-13,20,35.96,28
2014-12-13,21,33.98,26
2014-12-13,22,33.98,25
2014-12-13,23,33.08,24
2014-12-14,0,33.98,28
2014-12-14,1,33.98,27
2014-12-14,2,33.98,27
2014-12-14,3,33.98,26
2014-12-14,4,33.08,25
2014-12-14,5,33.98,25
2014-12-14,6,33.98,25
2014-12-14,7,33.98,64
2014-12-14,8,35.42,65
2014-12-14,9,37.04,66
2014-12-14,10,39.02,68
2014-12-14,11,41,69
2014-12-14,12,42.98,71
2014-12-14,13,44.06,71
2014-12-14,14,44.06,71
2014-12-14,15,42.98,69
2014-12-14,16,41,67
2014-12-14,17,39.92,65
2014-12-14,18,37.94,63
2014-12-14,19,37.04,21
2014-12-14,20,35.06,19
2014-12-14,21,35.06,18
2014-12-14,22,33.98,17
2014-12-14,23,33.98,16
2014-12-15,0,33.98,69
2014-12-15,1,33.08,67
2014-12-15,2,33.08,67
2014-12-15,3,33.08,66
2014-12-15,4,33.08,66
2014-12-15,5,33.08,65
2014-12-15,6,32,64
2014-12-15,7,33.98,105
2014-12-15,8,35.06,106
2014-12-15,9,37.04,107
2014-12-15,10,39.02,109
2014-12-15,11,41,110
2014-12-15,12,39.92,109
2014-12-15,13,39.92,108
2014-12-15,14,39.02,107
2014-12-15,15,37.94,105
2014-12-15,16,37.04,104
2014-12-15,17,39.02,105
2014-12-15,18,37.04,103
2014-12-15,19,37.94,63
2014-12-15,20,35.96,61
2014-12-15,21,35.96,60
2014-12-15,22,36.32,60
2014-12-15,23,37.94,61
2014-12-16,0,35.96,72
2014-12-16,1,35.06,71
2014-12-16,2,35.06,70
2014-12-16,3,35.06,70
2014-12-16,4,35.96,70
2014-12-16,5,37.04,71
2014-12-16,6,37.94,71
2014-12-16,7,39.02,111
2014-12-16,8,39.02,111
2014-12-16,9,39.92,111
2014-12-16,10,41,112
2014-12-16,11,39.92,110
2014-12-16,12,39.92,110
2014-12-16,13,39.92,109
2014-12-16,14,39.92,109
2014-12-16,15,39.92,108
2014-12-16,16,41,109
2014-12-16,17,41.54,109
2014-12-16,18,42.08,109
2014-12-16,19,42.98,70
2014-12-16,20,43.43,70
2014-12-16,21,44.06,70
2014-12-16,22,44.06,69
2014-12-16,23,42.98,68
2014-12-17,0,43.46,81
2014-12-17,1,44.06,81
2014-12-17,2,44.96,81
2014-12-17,3,46.04,82
2014-12-17,4,46.94,82
2014-12-17,5,44.96,80
2014-12-17,6,44.42,79
2014-12-17,7,42.98,117
2014-12-17,8,42.98,116
2014-12-17,9,42.89,116
